"Year","Tm","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PTS"
1970,"TOT",3623,7867,NA,NA,3623,7867,2047,2791,NA,NA,1794,NA,NA,NA,9293
1971,"ATL",3614,7779,NA,NA,3614,7779,2120,2975,NA,NA,1906,NA,NA,NA,9348
1971,"BAL",3684,8331,NA,NA,3684,8331,1886,2500,NA,NA,1772,NA,NA,NA,9254
1971,"BOS",3804,8616,NA,NA,3804,8616,2000,2648,NA,NA,2052,NA,NA,NA,9608
1971,"BUF",3424,7860,NA,NA,3424,7860,1805,2504,NA,NA,1962,NA,NA,NA,8653
1971,"CHI",3460,7660,NA,NA,3460,7660,2150,2721,NA,NA,2142,NA,NA,NA,9070
1971,"CIN",3805,8374,NA,NA,3805,8374,1901,2622,NA,NA,2022,NA,NA,NA,9511
1971,"CLE",3299,7778,NA,NA,3299,7778,1775,2380,NA,NA,2065,NA,NA,NA,8373
1971,"DET",3468,7730,NA,NA,3468,7730,2093,2808,NA,NA,1696,NA,NA,NA,9029
1971,"LAL",3739,7857,NA,NA,3739,7857,1933,2717,NA,NA,2205,NA,NA,NA,9411
1971,"MIL",3972,7803,NA,NA,3972,7803,1766,2379,NA,NA,2249,NA,NA,NA,9710
1971,"NYK",3633,8076,NA,NA,3633,8076,1760,2377,NA,NA,1779,NA,NA,NA,9026
1971,"PHI",3608,8026,NA,NA,3608,8026,2199,2967,NA,NA,1976,NA,NA,NA,9415
1971,"PHO",3503,8021,NA,NA,3503,8021,2327,3078,NA,NA,1927,NA,NA,NA,9333
1971,"POR",3721,8562,NA,NA,3721,8562,2025,2671,NA,NA,2227,NA,NA,NA,9467
1971,"SDR",3547,8426,NA,NA,3547,8426,2188,2921,NA,NA,1921,NA,NA,NA,9282
1971,"SEA",3664,8034,NA,NA,3664,8034,2101,2790,NA,NA,2049,NA,NA,NA,9429
1971,"SFW",3454,7709,NA,NA,3454,7709,1875,2468,NA,NA,1893,NA,NA,NA,8783
1971,"TOT",1846,4492,NA,NA,1846,4492,1063,1510,NA,NA,1316,NA,NA,NA,4755
1972,"ATL",3482,7570,NA,NA,3482,7570,2018,2725,NA,NA,1897,NA,NA,NA,8982
1972,"BAL",3490,7748,NA,NA,3490,7748,1804,2378,NA,NA,1816,NA,NA,NA,8784
1972,"BOS",3819,8431,NA,NA,3819,8431,1839,2367,NA,NA,2230,NA,NA,NA,9477
1972,"BUF",3409,7560,NA,NA,3409,7560,1549,2219,NA,NA,1759,NA,NA,NA,8367
1972,"CHI",3539,7853,NA,NA,3539,7853,2039,2700,NA,NA,2087,NA,NA,NA,9117
1972,"CIN",3444,7496,NA,NA,3444,7496,1948,2578,NA,NA,2020,NA,NA,NA,8836
1972,"CLE",3458,8074,NA,NA,3458,8074,1758,2390,NA,NA,2060,NA,NA,NA,8674
1972,"DET",3482,7665,NA,NA,3482,7665,1981,2653,NA,NA,1687,NA,NA,NA,8945
1972,"GSW",3477,7923,NA,NA,3477,7923,1917,2500,NA,NA,1854,NA,NA,NA,8871
